artist,title
glenn miller,the little man who wasn't there
misfits,american psycho
elliott smith,somebody that i used to know
june carter cash,juke box blues
"emerson, lake & palmer","karn evil 9 1st impression, pt. 1"
queens of the stone age,another love song
adema,immortal
the supremes,stop! in the name of love
the notting hillbillies,bewildered
sticky fingers,hyper
diana krall,walk on by
mudvayne,dig
the 1975,love it if we made it
little river band,listen to your heart
johnny winter,i'll drown in my tears
freddy fender,please don't tell me how the story ends
boz scaggs,love me tomorrow
"earth, wind & fire",build your nest
nat king cole,o holy night
santana,america (feat. p.o.d.)
ella fitzgerald,for you for me for evermore
julian dash,blue and sentimental
black moon,powaful impak!
the beautiful girls,when i had you with me
gucci mane,rich game
jonas brothers,before the storm
hot tuna,99 year blues
jamey johnson,can't cash my checks
rosanne cash,tennessee flat top box
jaymes young,feel something
ween,cold blows the wind
michael bublé,hold on
louis armstrong,sweet savannah sue
alejandro escovedo,i was drunk
muse,follow me
ron gallo,kill the medicine man
david lee murphy,i could believe anything
hank locklin,i don't hurt anymore
half•alive,runaway
waylon jennings,it'll be her
clinton fearon,version
mgmt,siberian breaks
little walter,don't need no horse
bonnie raitt,i feel the same
billy idol,dead on arrival
devin townsend,spirits will collide
the shirelles,putty in your hands
esther phillips,just say goodbye
the who,i'm one
bullet for my valentine,waking the demon
hasil adkins,no more hot dogs
langhorne slim,changes
johnny mercer,it's great to be alive
regina carter,pavane
haystak,on trial
david cassidy,i woke up in love this morning
joe cocker,isolation
sam cooke,you're nobody til somebody loves you
puddle of mudd,away from me
dirty heads,disguise
ac/dc,soul stripper
bad religion,modern man
brad paisley,me and jesus (extra special bonus track)
bob marley & the wailers,high tide or low tide
roger alan wade,butt ugly slut
dusty springfield,no easy way down
nina simone,black is the color of my true love's hair
blur,beetlebum
alpha & omega,honest opinion
the j. geils band,till the walls come tumblin' down
mf doom,my favorite ladies
nat king cole,the song is ended (but the melody lingers on)
govana,champ
jean shepard,i'll thank you all my life
nicole c. mullen,redeemer
hank mobley,roll call
tom waits,tom traubert's blues (four sheets to the wind in copenhagen)
chris ledoux,dallas days and fort worth nights
vanity fare,early in the morning
lizz wright,speak your heart
hank thompson,hangover heart
neil sedaka,smile
johnny cash,a legend in my time
green day,uptight
thin lizzy,mexican blood
dean martin,"love me, my love"
louis prima,eleanor
the cramps,the hot pearl snatch
thee oh sees,c
rjd2,disconnected
macka b,promises
kansas,magnum opus: father padilla meets the perfect gnat / howling at the moon / man overboard / industry on parade / release the beavers / gnat attack
chastity belt,seattle party
elvis presley,my way
the guess who,when you touch me
naughty by nature,o.p.p. (re-recorded)
ballyhoo!,selling out
bruce hornsby,mandolin rain
simplified,don't change
cypress hill,(rock) superstar
robin trower,ready for the taking
little feat,join the band
ozzy osbourne,diary of a madman
peter tosh,mystery babylon
delbert mcclinton,shot from the saddle
phish,waste
nancy sinatra,let's fall in love
charley pride,busted
phyllis hyman,what you won't do for love
rick braun,come with me
slave,smokin'
love,dream
the neville brothers,steer me right
slayer,kill again
galactic,stax jam
leroyce,catch my drift
ella fitzgerald,just you just me
the brian jonestown massacre,fucker
travis scott,stop trying to be god
xploding plastix,funnybones & lazylegs
johnny paycheck,loving you beats all i ever seen
g. love & special sauce,shooting hoops
popcaan,"party shot (ravin, pt. 2)"
soom t,free as a bird
xtc,roads girdle the globe
keyshia cole,i changed my mind
maceo parker,them that got
sparks,here in heaven
strawberry switchblade,go away
santana,"soul sacrifice / head, hands & feet"
flume,never be like you (feat. kai)
pink floyd,high hopes
"bonnie ""prince"" billy",death to everyone
megadeth,five magics
mary chapin carpenter,i'll never fall in love again
tammy wynette,let's get together (one last time)
bing crosby,dream a little dream of me
cab calloway,a chicken ain't nothing but a bird
rita ora,your song
the wood brothers,blue and green
toots & the maytals,monkey girl
the psychedelic furs,the ghost in you
the supremes,everything is good about you
the beatles,and i love her
bruce springsteen,darkness on the edge of town
interpol,pda
a day to remember,a shot in the dark
jane's addiction,sympathy for the devil
black joe lewis & the honeybears,i'm broke
bleu edmondson,finger on the trigger
rod stewart,every beat of my heart
krokus,playin' the outlaw
strawberry alarm clock,hummin' happy
tessellated,running
the charlie daniels band,let her cry
dokken,tooth and nail
slightly stoopid,sensi
joe diffie,hurt me all the time
fats domino,three nights a week
the movement,when the feeling goes away
charlie rich,are you still my baby
linton kwesi johnson,reggae sounds
little feat,hangin' on to the good times
the police,so lonely
ella fitzgerald,lover
the head and the heart,missed connection
dave mason,world in changes
dove cameron,rotten to the core
gene clark,is yours is mine
ra ra riot,absolutely
joni mitchell,blue
devin townsend project,march of the poozers
the goo goo dolls,before it's too late
tower of power,you can't fall up (you just fall down)
weldon irvine,sinbad
j.j. cale,everything will be alright
the flamingos,lovers never say goodbye
timbaland & magoo,baby bubba
julie london,if i'm lucky
céline dion,love can move mountains
koop,i see a different you
ritchie valens,my darling is gone
peter tosh,babylon queendom
adelitas way,notorious
traffic,"40,000 headmen"
rend collective,counting every blessing
john mayer,3x5
b.b. king,early every morning
shrub,herbivore
the seekers,the carnival is over
b.b. king,i like to live the love
keith urban,thank you
faith no more,midlife crisis
captain beyond,sufficiently breathless
peter tosh,where you gonna run
marshall crenshaw,try
leann rimes,god bless america
jerry garcia,bird song
ronnie milsap,is it over
lorde,homemade dynamite
dj shadow,six days
karen dalton,when a man loves a woman
bebe rexha,bad bitch (feat. ty dolla $ign)
mc5,high school
jimmy reed,"aw shucks, hush your mouth"
chick corea,spain
arthur russell,that's us/wild combination
mudvayne,scream with me
stephen stills,turn back the pages
mariah carey,the roof
damian marley,living it up
the beach boys,"anna lee, the healer"
drowning pool,tear away
kbong,livin' easy (feat. stick figure)
michael prophet,you are a no good
eric clapton,tell me that you love me
thee oh sees,lupine ossuary
flyleaf,call you out
drive-by truckers,tornadoes
the flamingos,you'll never walk alone
dean martin,rock-a-bye your baby with a dixie melody
tears for fears,change
billie holiday,love me or leave me
martha reeves & the vandellas,i should be proud
chubby checker,the hucklebuck
nine inch nails,the big come down
the who,the acid queen
dion & the belmonts,swinging on a star
jimmie vaughan,dengue woman blues
foghat,somebody's been sleepin' in my bed
jj grey & mofro,circles
olivia newton-john,please mr. please
emmylou harris,long may you run
donna summer,spring affair
rage against the machine,without a face
charley pride,where do i put her memory
cocteau twins,my love paramour
dolly parton,please help me i'm falling (in love with you)
emmylou harris,today i started loving you again
bachman-turner overdrive,down to the line
rania,منك بخاف
journey,higher place
buddy holly,"blue days, black nights"
chet baker,love me or leave me
thelonious monk,nice work if you can get it (take 3)
imagine dragons,love
heartless bastards,the arrow killed the beast
howlin' wolf,commit a crime
b.b. king,did you ever love a woman
three dog night,celebrate
bring me the horizon,drown
g-eazy,forbes
andy williams,happy heart
local natives,dark days
eric clapton,bell bottom blues
dwight yoakam,train in vain
ella fitzgerald,ac-cent-tchu-ate the positive
little eva,run to her
aim,ain't got time to waste
the chordettes,teen age goodnight
jim reeves,after loving you
lindsay lohan,drama queen (that girl)
jimmy eat world,hear you me
lil wayne,3 peat
deftones,dai the flu
will downing,king of fools
sarah mclachlan,building a mystery
roy orbison,in the real world
rascal flatts,words i couldn't say
rae sremmurd,this could be us
michael franks,one day in st. tropez
thievery corporation,no more disguise (feat. lou lou ghelichkhani)
lamb,we fall in love
savoy brown,why did you hoodoo me
kid ink,show me (feat. chris brown)
angels & airwaves,do it for me now
carl smith,san antonio rose
tessanne chin,hideaway
judy garland,swanee
jj grey & mofro,nare sugar
etta james,anything to say you're mine
roots radics,throw away your gun
blossom dearie,lover man (oh where can you be)
sugarland,stuck like glue
wavves,nine is god
joe bonamassa,feelin good
*nsync,pop
rjd2,take the picture off
blackbird hill,to & fros
sweet,fox on the run
korn,alive
ricky van shelton,you would do the same for me
willie nelson,local memory
nofx,linoleum
warren g,nobody does it better
social distortion,under my thumb
slayer,postmortem
the j. geils band,"insane, insane again"
don williams,time on my hands
uncle kracker,my girlfriend
loon,relax your mind
helmet,unsung
iron maiden,phantom of the opera
charley patton,shake it and break it (but don't let it fall mama)
slave,son of slide
marilyn manson,antichrist superstar
kris kristofferson,lover please
prince far i,armageddon
astrud gilberto,fly me to the moon
groundation,the seventh seal
ella fitzgerald,soon
joe bonamassa,distant lonesome train
the everly brothers,"oh, true love"
alice cooper,the great american success story
dave matthews band,big eyed fish
waylon jennings,lonely weekends
dolly parton,wildest dreams
violent femmes,i held her in my arms
the dream academy,the edge of forever
muddy waters,that's alright
merle haggard,i take a lot of pride in what i am
steve earle,goodbye
stephen bishop,separate lives
the replacements,somethin to dü
ty dolla $ign,"or nah (feat. the weeknd, wiz khalifa & dj mustard)"
the black crowes,descending
randy travis,my greatest fear
damn yankees,don't tread on me
blind pilot,three rounds and a sound
the kingston trio,away rio
selena,i could fall in love
graveyard,evil ways
céline dion,(you make me feel like) a natural woman
sublime with rome,only
kid cudi,maniac
dean martin,good mornin' life
damian marley,the struggle discontinues
wings,wild life
john brown's body,so aware
elvis presley,give me the right
roger miller,you can't roller skate in a buffalo herd
vince gill,whenever you come around
the kooks,sweet emotion
iration,wait and see
mark chesnutt,too good a memory
willie nelson,go on home
david bowie,as the world falls down
the meters,i need more time
collective soul,better now
melanie,close to it all
tyler bryant & the shakedown,downtown tonight
easy star all-stars,money
kyle park,yours and mine
yungblud,anarchist
the cramps,primitive
the smithereens,blood and roses
perry como,it's impossible
patsy cline,you were only fooling (while i was falling in love)
deep purple,child in time
julian marley,lion in the jungle
electric light orchestra,secret messages
ray price,the old rugged cross
faron young,if you ain't lovin' (you ain't livin')
ace of base,don't turn around
bone thugs-n-harmony,everyday thugs
hirie,i wanna be
eilen jewell,high shelf booze
bob james,unicorn
joe bonamassa,self-inflicted wounds
j.j. cale,changes
jim stafford,swamp witch
nat king cole,straighten up and fly right
slightly stoopid,this joint
hiroshima,why can't i love you
jr. walker & the all stars,walk in the night
ella fitzgerald,bess you is my woman now
luke bryan,blood brothers
ray vega,birks' works
jamie n commons,glory
kansas,all the world
neil diamond,stones
silver jews,i remember me
laura nyro,the bells
hollywood undead,young
spandau ballet,true
dan fogelberg,face the fire
tool,ænema
susan tedeschi,loving you is sweeter than ever
heartless bastards,my maker
muse,blackout
a tribe called quest,everything is fair
willie nelson,(how will i know) i'm falling in love again
poco,heart of the night
al green,"are you lonely for me, baby"
future,wicked
kesha,blah blah blah (feat. 3oh!3)
nine inch nails,reptile
brad mehldau,ron's place
head east,lovin' me along
curtis salgado,i want my dog to live longer (the greatest wish)
al kooper,i stand alone
free,come together in the morning
aretha franklin,every little bit hurts
blues saraceno,devils got you beat
talk talk,it's my life
irma thomas,i've been there
ella fitzgerald,glad to be unhappy
ella fitzgerald,dream a little dream of me
sister rosetta tharpe,when they ring the golden bell
bobby vee,rubber ball
don mclean,crying
otis taylor,resurrection blues
k.d. lang,i'm down to my last cigarette
baillie & the boys,(wish i had a) heart of stone
